A	EI	
AM	EI'Em	
abandon	@'bAnd@n	
abbreviation	@bri:vi:'EIS@n	
abc	EIbi:'si:	
abdomen	'Abd@m@n	
abide	@'ba:Id	
ability	@'bIl@ti:	
ablaze	@'blEIz	
able	'EIb@l	
abnormal	Ab'no:m@l	
abnormality	Abno:'mAl@ti:	
abolish	@'bOlIS	
abominable	@'bOmn@b@l	@'bOm@n@b@l
aborigine	Ab@'rIdZ@ni:	
abort	@'bo:t	
abortion	@'bo:S@n	
about	@'ba:Ut	
above	@'bav	
abrasion	@'brEIZ@n	
abroad	@'bro:d	
abrupt	@'brapt	
abscess	'AbsEs	
absent	'Abs@nt	
absent-minded	Abs@nt-'ma:Ind@d	
absolute	'Abs@lu:t	'Abs@lu:t
absorb	@b'so:b	@b'zo: b
abstract	'AbstrAkt	
absurd	@b's@:d	@b'z@:d
abuse	@'bju:z	
academy	@'kAd@mi:	
accelerate	@k'sEl@rEIt	
accent	'AksEnt	
accept	@k'sEpt	
access	'AksEs	
accident	'Aks@d@nt	
accommodate	@'kOm@dEIt	
accompany	@'kamp@ni:	
accomplice	@'kampl@s	
accord	@'ko:d	
accordingly	@'ko:dINli:	
account	@'ka:Unt	
accountable	@'ka:Unt@b@l	
accountant	@'ka:Unt@nt	
accumulate	@'kju:mj@lEIt	
accurate	'Akj@r@t	
accuse	@'kju:z	
accustomed	@'kast@md	
ace	EIs	
ache	EIk	
achieve	@'tSi:v	
acid	'As@d	
acknowledge	@k'nOlIdZ	
acne	'Akni:	
acoustics	@'ku:stIks	
acquaint	@'kwEInt	
acquaintance	@'kwEInt@ns	
acquire	@'kwa:I@	
acquit	@'kwIt	
acre	'EIk@	
acrobat	'Akr@bAt	
acronym	'Akr@nIm	
across	@'krOs	
across-the-board	@'krOs-D@-bo:d	
acrylic	@'krIlIk	
ACT	EIsi:'ti:	
action	'AkS@n	
activate	'Akt@vEIt	
active	'AktIv	
activity	Ak'tIv@ti:	
actor	'Akt@	
actu	EIsi:ti:'ju:	
actual	'AktSu:@l	
actually	'AktSu:@li:	'AktS@li:
acupuncture	'Akj@paNktS@	
acute	@'kju:t	
acutely	@'kju:tli:	
AD	EI'di:	
adamsapple	'Ad@mzAp@l	
adapt	@'dApt	
add	Ad	
addict	'AdIkt	
addicted	@'dIkt@d	
addition	@'dIS@n	
additive	'Ad@tIv	
address	@'drEs	
adequate	'Ad@kw@t	
adhesive	@d'hi:sIv	@d'hi:zIv
adjacent	@'dZEIs@nt	
adjective	'AdZ@ktIv	'AdZEktIv
adjourn	@'dZ@:n	
adjudicate	@'dZu:d@kEIt	
adjust	@'dZast	
adjustment	@'dZastm@nt	
admin	'AdmIn	
administration	@dmIn@'strEIS@n	
admire	@d'ma:I@	
admission	@d'mIS@n	
admit	@d'mIt	
admittance	@d'mIt@ns	
adolescence	Ad@'lEs@ns	
adopt	@'dOpt	
adore	@'do:	
adult	'Adalt	
adultery	@'dalt@ri:	
advance	@d'vAns	
advanced	@d'vAnst	
advancement	@d'vAnsm@nt	
advantage	@d'vAntIdZ	
adventure	@d'vEntS@	
adverse	'Adv@:s	
adversity	@d'v@:s@ti:	
advertise	'Adv@ta:Iz	
advertisement	@d'v@:t@sm@nt	
advice	@d'va:Is	
advisable	@d'va:Iz@b@l	
advise	@d'va:Iz	
advocate	'Adv@kEIt	
aerial	'E@ri:@l	
aerobics	@'r@UbIks	
aerodrome	'E@r@dr@Um	
aeroplane	'E@r@plEIn	
aerosol	'E@r@sOl	
affair	@'fE@	
affect	@'fEkt	
affectation	AfEk'tEIS@n	
affected	@'fEkt@d	
affection	@'fEkS@n	
affirm	@'f@:m	
affirmative	@'f@:m@tIv	
affluent	'Aflu:@nt	
afford	@'fo:d	
afloat	@'fl@Ut	
afraid	@'frEId	
after	'a:ft@	
after-effect	'a:ft@r-@fEkt	
after-hours	'a:ft@r-a:U@z	
afterlife	'a:ft@la:If	
afternoon	a:ft@'nu:n	
aftershave	'a:ft@SEIv	
afterwards	'a:ft@w@dz	
again	@'ɡEn	
against	@'ɡEnst	
age	EIdZ	
aged	EIdZd	
ageing	'EIdZIN	
ageism	'EIdZIz@m	
agency	'EIdZ@nsi:	
agenda	@'dZEnd@	
agent	'EIdZ@nt	
aggravate	Aɡr@vEIt	
aggression	@'ɡrES@n	
aggressive	@'ɡrEsIv	
aggro	Aɡr@U	
agile	'AdZa:Il	
agitate	'AdZ@tEIt	
agnostic	Aɡ'nOstIk	
ago	@'ɡ@U	
agony	Aɡ@ni:	
agree	@'ɡri:	
agreement	@'ɡri:m@nt	
agriculture	Aɡr@kaltS@	
ahead	@'hEd	
aid	EId	
aids	EIdz	
aim	EIm	
aimless	'EIml@s	
air	E@	
airforce	'E@fo:s	
airraid	'E@rEId	
airtrafficcontrol	E@trAfIkk@n'tr@Ul	
aircon	'E@kOn	
airconditioning	E@k@n'dIS@nIN	
aircraft	'E@kra:ft	
aircraftcarrier	'E@kra:ftkAri:@	
airlift	'E@lIft	
airline	'E@la:In	
airmail	'E@mEIl	
airport	'E@po:t	
aisle	a:Il	
ajar	@'dZa:	
alarm	@'la:m	
