a	@			
A	@			
abandon	@b{nd@n			
about	@b{Ot			
absorbed	@bzo:bd			
Actually	{ktS@li:			
adapt	@d{pt			
adjust	@dZ6st			
After	6:ft@			
again	@gen			
airfield	e:fi:ld			
Alan	{l@n			
Alan	{l@n			
Alberta	{lb3:t@			
album	{lb@m			
alfalfa	{lf{lf@			
alibi	{l@bAe			
alien	{Ili:@n			
alimony	{l@m@ni:	{l@m@}ni:		
Al	{l			
alligator	{l@g{It@			
all	o:l			
almost	o:lm@}st			
along	@lON			
Alps	{lps			
aluminium	{lj@mIni:@m	{l@mIni:@m	{l@mInj@m	
always	o:lw{Iz			
Amelia	@mi:li:@			
Amongst	@m6Nkst			
amphibian	{mfIbi:@n			
anaemia	@ni:mi:@			
anatomy	@n{t@mi:			
and	{n			
and	@n			
And	@n			
and	{nd			
an	@n			
annoy	@noI			
answered	{ns@d			
answer	{ns@r			
any	eni:			
anymore	eni:mo:			
Apparently	@p{r@ntli:			
appealed	@pi:ld			
apple	{p@l			
are	6:			
arent	6:nt			
are	@r			
Arthur	6:T@			
asked	6:skt			
assembled	@semb@ld			
as	@z			
at	@t			
At	{t			
attacker	@t{k@			
attracts	@tr{ks			
aunt	6:nt			
Australia	@str{Ili:@	@str{Ilj@	Ostr{Ilj@	Ostr{Ili:@
avocado	{v@k6:d@}			
avoid	@voId			
away	@w{I			
axle	{ks@l			
back	b{k			
bad	b{d			
badge	b{dZ			
badly	b{dli:			
bait	b{It			
balcony	b{lk@ni:			
ballot	b{l@t			
ban	b{n			
band	b{nd			
bang	b{N			
banish	b{nIS			
banner	b{n@			
bant	b{nt			
barge	b6:dZ			
barn	b6:n			
barrack	b{r@k	b{rIk		
bassinet	b{s@net			
bat	b{t			
bath	b6:T			
Baths	b6:Dz			
battle	b{t@l			
bazooka	b@z}:k@			
beams	bi:mz			
bear	be:			
beard	bI@d			
beautiful	bj}:t@f@l			
be	bi:			
bed	bed			
bed	bed			
been	bi:n			
before	b@fo:			
before	bi:fo:r			
beginning	b@gInIN			
beige	b{IZ			
Ben	ben			
bend	bend			
bent	bent			
beside	b@sAed			
bet	bet			
bets	bets			
big	bIg			
Bill	bIl			
birds	b3:dz			
bishop	bIS@p			
bit	bIt			
bite	bAet			
blade	bl{Id			
blue	bl}:			
board	bo:d			
boat	b@}t			
boots	b}:ts			
Boyd	boId			
boys	boIz			
breathe	bri:D			
breathtaking	breTt{IkIN			
bridge	brIdZ			
broke	br@}k			
brush	br6S			
building	bIldIN			
bulldog	bUldOg			
bullock	bUl@k			
bus	b6s			
business	bIzn@s			
but	b6t			
but	b@t			
But	b@t			
butler	b6tl@			
button	b6t@n			
buying	bAeIN			
by	bAe			
cabin	k{b@n			
calmly	k6:mli:			
came	k{Im			
camel	k{m@l			
can	k{n			
can	k@n			
can't	k6:nt			
care	ke:r			
carol	k{r@l			
carriage	k{rIdZ			
carry	k{ri:			
castle	k6:s@l			
catch	k{tS			
caterpillar	k{t@pIl@			
cat	k{t			
caught	ko:t			
cauliflower	kOli:fl{O@			
caused	ko:zd			
ceiling	si:lIN			
ceremony	ser@m@}ni:			
certain	s3:t@n			
chance	tS{ns			
changing	tS{IndZIN			
Charles	tS6:lz			
chew	tS}:			
chicken	tSIk@n			
children	tSIldr@n			
chill	tSIl			
choice	tSoIs			
chose	tS@}z			
chows	tS{Oz			
circled	s3:k@ld			
cleaning	kli:nIN			
clock	klOk			
closet	klOz@t			
clothes	kl@}Dz			
coal	k@}l			
cobwebs	kObwebz			
coldblooded	k@}lbl6d@d			
cold	k@}ld			
Col	kOl			
collapsed	k@l{pst			
colt	k@}lt			
come	k6m			
Come	k6m			
coming	k6mIN			
common	kOm@n			
Company	k6mp@ni:			
comply	k@mplAe			
considered	k@nsId@d			
conspicuous	k@nspIkj}:@s			
constellation	kOnst@l{IS@n			
cooped	k}:pt			
cop	kOp			
corner	ko:n@r			
