05	@} f Ae v
0	f O l s
1	t r }:
3D	d i:
A	@
A-	@
A	6:
AAA	t r I p @ l {I
AABERG	O b 3: g
AACHENER	o: k @ n @
AACHEN	o: k @ n
AAKER	O k @
AALBORG	O l b o: g
AALEN	O l @ n
AALIYAH	6: l i: @
AALSETH	O l s e T
AAMODT	O m @ t
AANCOR	O n k o:
AARDEMA	6: d e m @
AARDVARK	6: d v 6: k
AARDVARKS	6: d v 6: k s
AARGH	6: g
AARHUS	@ h @ s
AARON	e r @ n
AARON'S	e r @ n z
AARONS	e r @ n z
AARONSON	6: n s n
AARONSON	e r @ n s n
AARONSON'S	6: n s n z
AARONSON'S	e r @ n s n z
AARTI	6: t i:
AASEN	o: s n
AASE	O s
A-AS	@ { z
ABABA	@ b O b @
ABABA	O b @ b @
ABACHA	{ b I k @
ABACK	@ b { k
ABACO	{ b I k @}
ABACUS	{ b I k @ s
ABADAKA	@ b { d I k @
ABAD	@ b O d
ABADI	@ b { d i:
ABADIE	@ b { d i:
ABA	{I b i: {I
ABAIR	@ b e:
ABALKIN	@ b O l k @ n
ABALONE	{ b @ l @} n i:
ABALONES	{ b @ l @} n i: z
ABALOS	O b O l @} z
ABANDON	@ b { n d @ n
ABANDONED	@ b { n d @ n d
ABANDONING	@ b { n d @ n I N
ABANDONMENT	@ b { n d @ n m @ n t
ABANDONMENTS	@ b { n d @ n m @ n t s
ABANDONS	@ b { n d @ n z
ABANTO	@ b { n t @}
ABARCA	@ b 6: k @
ABARE	O b 6: r i:
ABASCAL	{ b @ s k @ l
ABASH	@ b { S
ABASHED	@ b { S t
ABASIA	@ b {I Z @
ABATE	@ b {I t
ABATED	@ b {I t @ d
ABATEMENT	@ b {I t m @ n t
ABATEMENTS	@ b {I t m @ n t s
ABATES	@ b {I t s
ABATING	@ b {I t I N
ABATTOIR	{ b @ t w 6:
AB	{ b
AB-	{ b
ABBA	{ b @
ABBADO	@ b O d @}
ABBAS	@ b O s
ABBASI	O b O s i:
ABBATE	O b {I t
ABBATIELLO	O b O t i: e l @}
ABBE	{ b i:
ABBE	{ b {I
ABBENHAUS	{ b @ n h 6: U s
ABBETT	@ b e t
ABBEVILLE	{ b v @ l
ABBEY	{ b i:
ABBEY'S	{ b i: z
ABBIE	{ b i:
ABBITT	{ b @ t
ABBOT	{ b @ t
ABBOTSFORD	{ b @ t s f @ d
ABBOTSTOWN	{ b @ t s t 6: U n
ABBOTT	{ b @ t
ABBOTT'S	{ b @ t s
ABBOTTSTOWN	{ b @ t s t 6: U n
ABBOUD	@ b }: d
ABBOUD	@ b {O d
ABBOUT	{ b {O t
ABBREVIATE	@ b r i: v i: {I t
ABBREVIATED	@ b r i: v i: {I t @ d
ABBREVIATES	@ b r i: v i: {I t s
ABBREVIATING	@ b r i: v i: {I t I N
ABBREVIATION	@ b r i: v i: {I S @ n
ABBREVIATIONS	@ b r i: v i: {I S n z
ABBRUZZESE	O b r }: t s {I z i:
ABBS	@ b z
ABBY	{ b i:
ABC	{I b i: s i:
ABCO	{ b k @}
ABCOTEK	{ b k @} t e k
ABC'S	{I b i: s i: z
ABCS	{I b i: s i: z
ABDAL	{ b d l
ABDALLA	{ b d l @
ABDALLAH	{ b d l @
ABDALLAH-	{ b d l @
ABDEL	{ b d l
ABDELLA	{ b d e l @
ABD	{I b i: d i:
ABDICATE	{ b d @ k {I t
ABDICATED	{ b d @ k {I t @ d
ABDICATES	{ b d @ k {I t s
ABDICATING	{ b d @ k {I t I N
ABDICATION	{ b d @ k {I S @ n
ABDNOR	{ b d n @
ABDO	{ b d @}
ABDOLLAH	{ b d { l @
ABDOMEN	{ b d @ m @ n
ABDOMINAL	@ b d O m @ n @ l
ABDOMINAL	{ b d O m @ n @ l
ABDUCT	@ b d 6 k t
ABDUCTED	@ b d 6 k t @ d
ABDUCTEE	@ b d 6 k t i:
ABDUCTEES	@ b d 6 k t i: z
ABDUCTING	@ b d 6 k t I N
ABDUCTION	@ b d 6 k S @ n
ABDUCTIONS	@ b d 6 k S n z
ABDUCTOR	@ b d 6 k t @
ABDUCTORS	@ b d 6 k t @ z
ABDUCTS	@ b d 6 k t s
ABDULAZIZ	{ b d j }: @ l @ z i: z
ABDUL	{ b d j }: @ l
ABDULLAH	{ b d U l @
ABDULLAH-	{ b d U l @
ABDULLAH’S	{ b d U l @ s
ABDULLA	O b d j }: l @
ABED	@ b e d
ABEDI	@ b e d i:
ABEE	@ b i:
ABE	{I b
ABELA	O b e l @
ABELARD	{ b I l @ d
ABELE	@ b e l
ABELES	@ b e l z
ABELES	{I b @ l i: z
ABEL	{I b @ l
ABELLA	@ b e l @
ABELL	{I b @ l
ABELN	{ b I l n
ABELOW	{ b @ l @}
ABELS	{I b l z
ABELSON	{ b I l s n
ABEND	@ b e n d
ABEND	{ b e n d
ABENDROTH	{ b I n d r O T
ABERCROMBIE	{ b @ k r O m b i:
ABERDEEN	{ b 3: d i: n
ABERFORD	{I b @ f @ d
ABERG	{ b 3: g
ABER	{I b @
ABERLE	{ b 3: l
ABERLE	{ b @ r @ l
ABERMIN	{ b 3: m @ n
ABERNATHY	{ b @ n { T i:
ABERNETHY	{ b @ n e T i:
ABERRANT	{ b e: r @ n t
ABERRATIONAL	{ b @ r {I S n @ l
ABERRATION	{ b @ r {I S @ n
ABERRATIONS	{ b @ r {I S n z
ABERT	{ b @ t
ABET	@ b e t
ABETTED	@ b e t @ d
ABETTING	@ b e t I N
ABEX	{I b e k s
